product_id,product_name,product_category,product_brand,units_on_hand,unit_cost,tied_up_capital,daily_velocity,last_sale_date,oldest_unit_age_days,days_since_last_sale,days_of_supply,inventory_status
24128,Arc'teryx Men's Sabre Jacket,Outerwear & Coats,Arc'teryx,15,253.58,3803.63,0.0,,2189,,,Dead Stock
3268,Rebecca Taylor Women's Lace Dress,Dresses,Rebecca Taylor,21,180.91,3799.11,0.022222222222222223,2026-04-09,2136,17,945.0,Overstock
25348,Jordan Low Quarter Sock Style # 427411,Socks,Nike,7,537.29,3761.0,0.0,,1418,,,Dead Stock
24029,Mountain Hardwear Men's Chillwave Down Parka,Outerwear & Coats,Mountain Hardwear,21,176.63,3709.13,0.022222222222222223,2026-03-06,2271,51,945.0,Overstock
24283,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,Outerwear & Coats,The North Face,10,370.23,3702.3,0.011111111111111112,2026-02-16,2100,69,900.0,Overstock
23951,The North Face Nuptse 2 Jacket Deep Water Blue Mens,Outerwear & Coats,The North Face,10,367.52,3675.21,0.022222222222222223,2026-04-21,1798,5,450.0,Overstock
2559,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Active,Nike,9,403.64,3632.77,0.011111111111111112,2026-02-11,1583,74,810.0,Overstock
1236,Rebecca Taylor Women's Cashmere Marl Pullover,Sweaters,Rebecca Taylor,23,156.0,3588.0,0.022222222222222223,2026-03-26,2128,31,1035.0,Overstock
19956,Harris Tweed Wool Jacket-Dougal Limited Edition,Suits & Sport Coats,The Harris Tweed Of Scotland,14,256.2,3586.8,0.011111111111111112,2026-04-20,2218,6,1260.0,Overstock
2723,The North Face Denali Down Womens Jacket 2013,Active,The North Face,9,395.51,3559.63,0.0,,2092,,,Dead Stock
24177,Marc New York by Andrew Marc Men's Liam Smooth Lamb Car Coat with Bib,Outerwear & Coats,Marc New York by Andrew Marc,17,204.2,3471.47,0.0,,2120,,,Dead Stock
17106,True Religion Men's TRBJ Flatlock Raw Edge Hoodie,Fashion Hoodies & Sweatshirts,True Religion,20,172.48,3449.56,0.011111111111111112,2026-04-21,2244,5,1800.0,Overstock
24179,Arc'teryx Men's Diplomat Jacket,Outerwear & Coats,Arc'teryx,17,202.5,3442.5,0.022222222222222223,2026-04-21,2279,5,765.0,Overstock
20840,True Religion Men's Ricky Straight Jean,Jeans,True Religion,18,184.81,3326.65,0.011111111111111112,2026-03-20,2078,37,1620.0,Overstock
19061,4 Ply Shephe Men's Turtleneck Cashmere Sweater,Sweaters,Shephe,27,120.87,3263.54,0.0,,2238,,,Dead Stock
20110,Sandals Cay Men's Three-Button Cashmere Blend Sport Coat in Gray Navy or Tan,Suits & Sport Coats,Sandals Cay,15,217.0,3254.93,0.022222222222222223,2026-04-08,2169,18,675.0,Overstock
21503,True Religion Men's Billy Super Big Jean,Jeans,True Religion,18,180.43,3247.83,0.011111111111111112,2026-02-14,2202,71,1620.0,Overstock
20112,G-Star Men's Cl New Blazer,Suits & Sport Coats,G-Star,21,150.84,3167.64,0.011111111111111112,2026-04-18,1922,8,1890.0,Overstock
7228,Robert Rodriguez Women's High Waisted Pencil Skirt,Skirts,Robert Rodriguez,14,224.91,3148.74,0.022222222222222223,2026-04-15,2058,11,630.0,Overstock
7801,Rebecca Minkoff Women's Ponte Ryder Jacket,Blazers & Jackets,Rebecca Minkoff,20,157.21,3144.2,0.011111111111111112,2026-04-02,2125,24,1800.0,Overstock
3709,Tracy Reese Women's Contrast Frock Dress,Dresses,Plenty by Tracy Reese,16,196.25,3139.97,0.022222222222222223,2026-03-01,1980,56,720.0,Overstock
23921,Cwu Pilot 183111 45P Vintage,Outerwear & Coats,Alpha Industries,16,195.51,3128.16,0.011111111111111112,2026-03-11,1989,46,1440.0,Overstock
24242,Arc'teryx Theta SL Hybrid Jacket - Men's,Outerwear & Coats,Arc'teryx,21,148.11,3110.21,0.022222222222222223,2026-03-15,2297,42,945.0,Overstock
28487,Ray-Ban RB2140 Original Wayfarer Sunglasses,Accessories,Ray-Ban,37,83.66,3095.4,0.011111111111111112,2026-01-30,2240,86,3330.0,Overstock
24138,Canada Goose Men's Lodge Down Hoody,Outerwear & Coats,Canada Goose,17,180.9,3075.3,0.011111111111111112,2026-04-20,2214,6,1530.0,Overstock
23863,Mountain Hardwear Men's Ghost Whisperer Down Jacket,Outerwear & Coats,Mountain Hardwear,23,133.38,3067.74,0.0,,2293,,,Dead Stock
21531,Diesel Men's Safado Slim Straight-Leg Jean,Jeans,Diesel,19,160.87,3056.62,0.011111111111111112,2026-04-12,2174,14,1710.0,Overstock
8261,Jones New York Women's Hidden Snap Notch Collar Coat,Outerwear & Coats,Jones New York,12,253.38,3040.52,0.0,,2169,,,Dead Stock
3588,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,Dresses,Nicole Miller,20,151.13,3022.5,0.0,,1923,,,Dead Stock
17289,True Religion Men's TRBJ Power Through Peace Flatlock Hoodie,Fashion Hoodies & Sweatshirts,True Religion,20,150.77,3015.43,0.011111111111111112,2026-04-18,2182,8,1800.0,Overstock
7443,Rebecca Minkoff Women's Leather Luciana Skirt,Skirts,Rebecca Minkoff,12,249.96,2999.57,0.0,,2043,,,Dead Stock
19561,Diesel Men's K-Pilinani Sweater,Sweaters,Diesel,20,148.58,2971.68,0.0,,2199,,,Dead Stock
24446,Arc'teryx Theta SV Jacket - Men's,Outerwear & Coats,Arc'teryx,12,246.95,2963.4,0.0,,1298,,,Dead Stock
23989,The North Face Freedom Mens Ski Pants 2013,Outerwear & Coats,The North Face,8,369.33,2954.62,0.0,,2160,,,Dead Stock
3855,French Connection Women's Solar Heat Dress,Dresses,French Connection,15,196.61,2949.18,0.022222222222222223,2026-04-08,2183,18,675.0,Overstock
24023,Barbour Classic Bedale Jacket / Barbour Active Classic Bedale Jacket,Outerwear & Coats,Barbour,18,163.73,2947.1,0.011111111111111112,2026-04-05,2250,21,1620.0,Overstock
23784,Faconnable Men's Reversible Trench Coat,Outerwear & Coats,Faconnable,12,243.23,2918.7,0.03333333333333333,2026-04-16,2192,10,360.0,Overstock
3454,BCBGMAXAZRIA Women's Gisela Criss Cross Foil Print Dress,Dresses,BCBGMAXAZRIA,17,171.12,2909.04,0.011111111111111112,2026-04-19,2102,7,1530.0,Overstock
8686,Canada Goose Women's Camp Hooded Jacket,Outerwear & Coats,Canada Goose,13,222.25,2889.31,0.0,,2260,,,Dead Stock
20074,Paul Fredrick Twill Weave Double-Breasted Suit Jacket,Suits & Sport Coats,Paul Fredrick,30,96.14,2884.23,0.011111111111111112,2026-04-20,2204,6,2700.0,Overstock
24071,Men's Andrew Marc Nucky Lambskin Leather Bomber Jacket with Sheepskin Collar,Outerwear & Coats,Andrew Marc,14,205.97,2883.58,0.011111111111111112,2026-04-17,2100,9,1260.0,Overstock
19641,Lacoste Men's Club Cashmere Crewneck Sweater Blue,Sweaters,Lacoste,15,192.14,2882.09,0.022222222222222223,2026-02-01,2223,84,675.0,Overstock
2719,Canada Goose Women's Solaris,Active,Canada Goose,11,261.32,2874.52,0.0,,1768,,,Dead Stock
3745,Parker Women's Beaded Spaghetti Tank Dress,Dresses,Parker,18,159.16,2864.8,0.0,,2236,,,Dead Stock
24256,Mammut Men's Ultimate Hoody Jacket,Outerwear & Coats,Mammut,20,142.56,2851.11,0.011111111111111112,2026-04-10,2298,16,1800.0,Overstock
20631,True Religion Men's Bobby Zipper Jean,Jeans,True Religion,19,149.29,2836.55,0.011111111111111112,2026-02-17,2256,68,1710.0,Overstock
23735,Columbia Men's Rare Earth Interchange Jacket,Outerwear & Coats,Columbia,21,134.96,2834.16,0.011111111111111112,2026-04-19,2269,7,1890.0,Overstock
23648,The North Face Apex Bionic Jacket - Men's,Outerwear & Coats,The North Face,7,399.13,2793.88,0.022222222222222223,2026-03-08,2198,49,315.0,Overstock
21054,True Religion Men's Ricky Super T Straight Catrer Jean,Jeans,True Religion,15,184.01,2760.12,0.011111111111111112,2026-03-04,2262,53,1350.0,Overstock
21733,True Religion Men's Ricky Straight Corduroy Pant,Pants,True Religion,21,131.41,2759.65,0.011111111111111112,2026-04-24,2279,2,1890.0,Overstock
8778,Arc'teryx Moray Jacket - Women's,Outerwear & Coats,Arc'teryx,8,343.91,2751.26,0.0,,2150,,,Dead Stock
3135,HALSTON HERITAGE Women's Sleeveless V-Neck Faille Dress,Dresses,Halston Heritage,12,228.69,2744.28,0.011111111111111112,2026-04-20,2068,6,1080.0,Overstock
18062,The North Face Apex Bionic Soft Shell Jacket - Men's,Active,The North Face,7,391.9,2743.31,0.011111111111111112,2026-02-17,2259,68,630.0,Overstock
8435,Arc'teryx Women's Caliber Cardigan,Outerwear & Coats,Arc'teryx,8,342.51,2740.08,0.022222222222222223,2026-04-16,1950,10,360.0,Overstock
22927,AIR JORDAN DOMINATE SHORTS MENS 465071-100,Shorts,Jordan,6,454.21,2725.25,0.011111111111111112,2026-04-05,1620,21,540.0,Overstock
3579,Parker Women's Striped Dress,Dresses,Parker,17,159.84,2717.27,0.011111111111111112,2026-03-05,2057,52,1530.0,Overstock
24069,Marc New York by Andrew Marc Men's Nolan Natural Rugged Lamb Open Bottom Jacket,Outerwear & Coats,Marc New York by Andrew Marc,20,135.83,2716.52,0.0,,2263,,,Dead Stock
19398,Faconnable Men's Double Closure Sweater Vest,Sweaters,Faconnable,16,169.74,2715.81,0.022222222222222223,2026-03-13,1982,44,720.0,Overstock
21571,True Religion Men's Geno Baja Slim Jean,Jeans,True Religion,18,150.74,2713.39,0.03333333333333333,2026-04-15,2287,11,540.0,Overstock
21574,Evisu European edition Vintage cut denim jeans,Jeans,Evisu,15,180.52,2707.81,0.022222222222222223,2026-04-12,2054,14,675.0,Overstock
24061,Men's Classic Sheepskin B-3 Bomber Jacket,Outerwear & Coats,Overland Sheepskin Co,10,270.73,2707.25,0.011111111111111112,2026-04-22,2046,4,900.0,Overstock
21155,Diesel Men's Thavar Skinny Straight Jean,Jeans,Diesel,15,180.37,2705.62,0.0,,2223,,,Dead Stock
8221,Kasper Women's Unmatched Jacquard With Crepe Pant,Suits,Kasper,22,122.98,2705.56,0.0,,2171,,,Dead Stock
20436,Paul Fredrick 100% Wool Double-Breasted Peak Lapel Houndstooth Suit,Suits & Sport Coats,Paul Fredrick,17,158.79,2699.4,0.022222222222222223,2026-03-31,2277,26,765.0,Overstock
1112,Magaschoni Women's 100% Cashmere Boat Neck Sweater,Sweaters,Magaschoni,17,158.24,2690.08,0.011111111111111112,2026-02-20,2184,65,1530.0,Overstock
3269,Rebecca Taylor Women's Lace Dress,Dresses,Rebecca Taylor,15,179.33,2689.95,0.022222222222222223,2026-03-29,2291,28,675.0,Overstock
20455,Ted Baker Men's Moosh Blazer,Suits & Sport Coats,Ted Baker,18,148.99,2681.91,0.022222222222222223,2026-04-21,2278,5,810.0,Overstock
24083,Diesel Men's Lisardo Jacket,Outerwear & Coats,Diesel,8,335.04,2680.29,0.0,,2287,,,Dead Stock
24205,Diesel Men's Lagnum Leather Jacket,Outerwear & Coats,Diesel,10,267.9,2679.04,0.011111111111111112,2026-03-20,2266,37,900.0,Overstock
8376,Arc'teryx Women's Beta AR Jacket,Outerwear & Coats,Arc'teryx,13,205.2,2667.6,0.011111111111111112,2026-02-10,2163,75,1170.0,Overstock
5568,J Brand 1448 The Brix in Vintage Evergreen,Pants & Capris,J BRAND,19,137.75,2617.29,0.011111111111111112,2026-04-22,2277,4,1710.0,Overstock
20419,Paul Fredrick 100% Wool Double-Breasted Windowpane Suit,Suits & Sport Coats,Paul Fredrick,15,174.47,2617.04,0.0,,2012,,,Dead Stock
24053,The North Face Denali Down Mens Jacket 2013,Outerwear & Coats,The North Face,6,436.15,2616.89,0.011111111111111112,2026-04-06,1431,20,540.0,Overstock
2796,ASCIS Cushion Low Socks (Pack of 3),Active,ASICS,7,373.84,2616.89,0.0,,2281,,,Dead Stock
10584,Playtex Women's 18 Hour Stylish Support,Intimates,Playtex,23,113.68,2614.69,0.022222222222222223,2026-03-23,2249,34,1035.0,Overstock
21649,AG Adriano Goldschmied The Hero Relaxed Fit Jean,Jeans,AG Adriano Goldschmied,29,90.09,2612.75,0.022222222222222223,2026-04-21,2238,5,1305.0,Overstock
24022,True Religion Men's Jimmy Super Jacket,Outerwear & Coats,True Religion,17,153.45,2608.68,0.022222222222222223,2026-03-04,2206,53,765.0,Overstock
4047,BCBGMAXAZRIA Women's Morris Knit Sportswear Dress,Dresses,BCBGMAXAZRIA,12,216.38,2596.61,0.022222222222222223,2026-04-21,2035,5,540.0,Overstock
19878,Ben Sherman Men's Plectrum Tweed Blazer,Suits & Sport Coats,Ben Sherman,24,107.97,2591.28,0.022222222222222223,2026-04-21,2011,5,1080.0,Overstock
20471,LINCS DC &Co Men's Double Knit Blazer,Suits & Sport Coats,LINCS DC & Co,25,103.13,2578.36,0.0,,2210,,,Dead Stock
23917,Mountain Hardwear Men's Ghost Whisperer Hooded Down Jacket,Outerwear & Coats,Mountain Hardwear,20,127.8,2556.0,0.011111111111111112,2026-04-13,2180,13,1800.0,Overstock
20539,7 For All Mankind Men's Austyn Relaxed Straight Leg,Jeans,7 For All Mankind,23,110.88,2550.24,0.0,,2272,,,Dead Stock
26751,Derek Rose Men's Pajama Set,Sleep & Lounge,Derek Rose,24,106.15,2547.6,0.044444444444444446,2026-04-24,2276,2,540.0,Overstock
20227,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,Suits & Sport Coats,Joseph Abboud,16,158.46,2535.36,0.0,,2299,,,Dead Stock
3810,Parker Women's V-Neck Beaded Dress,Dresses,Parker,14,180.64,2528.99,0.011111111111111112,2026-04-01,2122,25,1260.0,Overstock
20441,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,Suits & Sport Coats,Joseph Abboud,16,157.21,2515.34,0.011111111111111112,2026-04-06,2288,20,1440.0,Overstock
3886,BCBGMAXAZRIA Women's Seri Woven Evening Dress,Dresses,BCBGMAXAZRIA,17,147.94,2514.91,0.022222222222222223,2026-02-15,1787,70,765.0,Overstock
5056,True Religion Women's Vintage Billy Straight Jean,Jeans,True Religion,17,147.61,2509.35,0.011111111111111112,2026-04-13,2281,13,1530.0,Overstock
21555,True Religion Men's Ricky Super T Straight Jean,Jeans,True Religion,13,192.94,2508.27,0.011111111111111112,2026-01-26,2233,90,1170.0,Overstock
19824,Scotch & Soda Men's Outdoor Jacket,Suits & Sport Coats,Scotch & Soda,22,113.15,2489.41,0.011111111111111112,2026-04-13,2044,13,1980.0,Overstock
19531,Dale Of Norway Nordlys Cardigan,Sweaters,Orvis,14,177.77,2488.85,0.0,,1638,,,Dead Stock
23932,Barbour Beaufort Jacket,Outerwear & Coats,Barbour,14,177.16,2480.18,0.0,,2271,,,Dead Stock
19652,Men's Henningsvaer Norwegian Wool Pullover,Sweaters,Overland Sheepskin Co,15,165.28,2479.23,0.0,,2104,,,Dead Stock
24410,Levi's Men's Leather Racer Jacket,Outerwear & Coats,Levi's,18,137.61,2476.98,0.044444444444444446,2026-04-19,2220,7,405.0,Overstock
19638,Men's St. Croix Long Sleeve Double Lock 1/4 Zip Sweater,Sweaters,St Croix,14,176.21,2466.94,0.011111111111111112,2026-02-04,1963,81,1260.0,Overstock
19660,Barbour Summit Zip Thru Sweater,Sweaters,Orvis,17,145.02,2465.26,0.03333333333333333,2026-04-13,1994,13,510.0,Overstock
8777,Bergama Natural Raccoon Hooded Stroller - - Multicolor,Outerwear & Coats,Bergama,8,306.75,2453.97,0.0,,2144,,,Dead Stock
7809,WHAT GOES AROUND COMES AROUND Women's Bennet Jacket,Blazers & Jackets,What Goes Around Comes Around,24,101.84,2444.18,0.03333333333333333,2026-04-22,2037,4,720.0,Overstock
7264,Robert Rodriguez Women's Pencil Skirt,Skirts,Robert Rodriguez,14,174.37,2441.25,0.022222222222222223,2026-04-21,2283,5,630.0,Overstock
20366,Robert Graham Men's Barbican Velvet Blazer,Suits & Sport Coats,Robert Graham,8,305.03,2440.21,0.0,,1798,,,Dead Stock
7836,Diesel Women's De-Nix Jacket,Blazers & Jackets,Diesel,16,151.94,2431.04,0.0,,2290,,,Dead Stock
23908,Alpha Industries A-2 Leather Jacket,Outerwear & Coats,Alpha Industries,13,187.0,2431.0,0.0,,1784,,,Dead Stock
4810,True Religion Women's Becky Super T,Jeans,True Religion,13,186.8,2428.37,0.011111111111111112,2026-02-17,2250,68,1170.0,Overstock
7718,Trina Turk Women's Alfred,Blazers & Jackets,Trina Turk,16,151.64,2426.21,0.011111111111111112,2026-04-19,1868,7,1440.0,Overstock
8129,Tahari Cliff Skirt Suit,Suits,Tahari,20,120.45,2409.09,0.022222222222222223,2026-04-21,2061,5,900.0,Overstock
24001,Volcom Men's TDS Jacket,Outerwear & Coats,Volcom,19,126.08,2395.52,0.022222222222222223,2026-03-23,2203,34,855.0,Overstock
24129,Spyder Alpine Insulated Ski Jacket Mens,Outerwear & Coats,Spyder,22,108.73,2392.02,0.011111111111111112,2026-04-22,2276,4,1980.0,Overstock
899,Magaschoni Women's 100% Cashmere Peplum Back Sweater,Sweaters,Magaschoni,13,182.95,2378.38,0.0,,2013,,,Dead Stock
4023,Rebecca Taylor Women's Nailhead Dress,Dresses,Rebecca Taylor,11,216.0,2376.0,0.0,,2136,,,Dead Stock
8425,Canada Goose Women's Whistler Parka,Outerwear & Coats,Canada Goose,8,296.07,2368.56,0.0,,2181,,,Dead Stock
1490,Autumn Cashmere Women's Color Block Boxy Boatneck Tunic,Sweaters,Autumn Cashmere,19,123.97,2355.52,0.0,,2204,,,Dead Stock
20204,Ralph Lauren Mens SB 2B Solid Navy Blue Wool Suit,Suits & Sport Coats,Ralph Lauren,19,123.84,2352.89,0.011111111111111112,2026-04-07,1978,19,1710.0,Overstock
21337,True Religion Men's Geno Workwear Slim Jean,Jeans,True Religion,15,156.16,2342.34,0.022222222222222223,2026-04-19,2262,7,675.0,Overstock
24361,Men's Double Breasted Overcoat in Pure Cashmere,Outerwear & Coats,Cashmere Boutique,13,178.75,2323.78,0.011111111111111112,2026-03-22,2044,35,1170.0,Overstock
23742,Canada Goose Men's Citadel Parka,Outerwear & Coats,Canada Goose,6,387.16,2322.99,0.011111111111111112,2026-03-25,2215,32,540.0,Overstock
4029,IGIGI by Yuliya Raquel Plus Size Kandinsky Gown,Dresses,IGIGI by Yuliya Raquel,17,136.17,2314.97,0.011111111111111112,2026-04-20,2286,6,1530.0,Overstock
24037,Barbour Sapper Jacket,Outerwear & Coats,Barbour,11,210.21,2312.31,0.0,,1525,,,Dead Stock
24173,Oakley Men's Originate Jacket,Outerwear & Coats,Oakley,16,144.0,2304.0,0.011111111111111112,2026-02-23,2142,62,1440.0,Overstock
21231,True Religion Men's Ricky Super-T Straight Jean,Jeans,True Religion,12,191.38,2296.58,0.022222222222222223,2026-04-21,2163,5,540.0,Overstock
8268,HALSTON HERITAGE Women's Oversized Double Faced Coat,Outerwear & Coats,Halston Heritage,11,208.65,2295.13,0.011111111111111112,2026-04-18,2045,8,990.0,Overstock
20040,Mantoni 2 Button Men's Tuxedo Suit with Vest Solid Black 100% Virgin Wool,Suits & Sport Coats,Mantoni,25,91.73,2293.29,0.011111111111111112,2026-02-07,2090,78,2250.0,Overstock
8788,Eddie Bauer WeatherEdgeÂ® Long Trench Coat,Outerwear & Coats,Eddie Bauer,21,109.06,2290.3,0.022222222222222223,2026-04-22,2207,4,945.0,Overstock
20225,Mantoni 1 Button PEAK Lapel Men's Tuxedo Suit with Vest Solid Black 100% Virgin Wool,Suits & Sport Coats,Giorgio Fiorelli,23,99.48,2288.04,0.022222222222222223,2026-02-27,2290,58,1035.0,Overstock
21454,Scotch & Soda Men's Ralston Flat Iron Jean,Jeans,Scotch & Soda,24,94.8,2275.3,0.022222222222222223,2026-04-18,2270,8,1080.0,Overstock
20759,Diesel Men's Zathan 885K Regular Bootcut Jean,Jeans,Diesel,26,87.18,2266.64,0.022222222222222223,2026-04-24,2292,2,1170.0,Overstock
20220,Joseph Abboud Mens 2 Button Gray Sharkskin Wool Suit,Suits & Sport Coats,Joseph Abboud,18,125.44,2257.84,0.0,,2251,,,Dead Stock
2793,adidas Women's adiFIT Slim Pant,Active,adidas,6,375.65,2253.89,0.0,,1989,,,Dead Stock
19898,Diesel Men's Jepphet Jacket,Suits & Sport Coats,Diesel,19,118.59,2253.21,0.0,,2233,,,Dead Stock
333,Robert Rodriguez Women's Beaded V-Neck Tank,Tops & Tees,Robert Rodriguez,14,158.67,2221.45,0.0,,2241,,,Dead Stock
2003,Long Le Fay Hoodie in Black by Prairie Underground,Fashion Hoodies & Sweatshirts,Prairie Underground,17,130.46,2217.89,0.03333333333333333,2026-03-30,2301,27,510.0,Overstock
21114,Diesel Men's Shioner Skinny Straight Leg Jean,Jeans,Diesel,12,184.74,2216.83,0.0,,2013,,,Dead Stock
20051,Tommy Hilfiger Men's Slim Stripe Trim Fit Suit,Suits & Sport Coats,Tommy Hilfiger,20,110.76,2215.11,0.022222222222222223,2026-02-11,2184,74,900.0,Overstock
3998,Velvet Women's Farah Allover Sequin Dress,Dresses,Velvet,18,122.97,2213.5,0.011111111111111112,2026-02-28,2288,57,1620.0,Overstock
2425,The North Face Apex Bionic Soft Shell Jacket - Women's,Active,The North Face,16,138.29,2212.67,0.011111111111111112,2026-03-16,2306,41,1440.0,Overstock
20013,Ben Sherman Men's Side Vent 2 Piece Suit,Suits & Sport Coats,Ben Sherman,10,220.77,2207.7,0.0,,2156,,,Dead Stock
21431,Earnest Sewn Men's Fulton Classic Straight Leg Jeans,Jeans,Earnest Sewn,21,104.52,2194.92,0.022222222222222223,2026-02-18,2285,67,945.0,Overstock
24215,Hart Schaffner Marx Men's Shelby Top Coat,Outerwear & Coats,Hart Schaffner Marx,24,91.39,2193.34,0.022222222222222223,2026-02-11,1841,74,1080.0,Overstock
7576,Pendleton The Portland Collection Women's Josephine Blazer,Blazers & Jackets,Pendleton,21,104.4,2192.4,0.011111111111111112,2026-02-27,2168,58,1890.0,Overstock
5067,PAIGE Women's Skyline Straight,Jeans,PAIGE,22,99.34,2185.59,0.011111111111111112,2026-04-10,2306,16,1980.0,Overstock
23970,Filson Men's Mackinaw Cruiser Jacket,Outerwear & Coats,Filson,16,136.48,2183.74,0.011111111111111112,2026-04-01,2184,25,1440.0,Overstock
22161,Volcom T.D.S. Pant - Men's,Pants,Volcom,18,121.24,2182.32,0.011111111111111112,2026-03-23,2188,34,1620.0,Overstock
24186,Zero Restriction Men's Featherweight Traveler Jacket Removable Sleeve Rain Jacket,Outerwear & Coats,Zero Restriction,14,154.45,2162.23,0.0,,2202,,,Dead Stock
3986,Tracy Reese Women's Contrast Frock,Dresses,Tracy Reese,9,239.54,2155.84,0.0,,1802,,,Dead Stock
