user_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_cell,segment
56647,996,2,1030.98,2,5,5,255,At Risk
14434,18,4,1030.47,5,5,5,555,Champions
67101,1020,2,1025.0,2,5,5,255,At Risk
64262,5,2,1023.5,5,4,5,545,Champions
52159,78,2,1021.07,5,5,5,555,Champions
88202,20,2,1020.94,5,5,5,555,Champions
61947,126,1,1018.98,4,3,5,435,Champions
17814,137,3,1017.95,4,5,5,455,Champions
13071,655,4,1014.95,2,5,5,255,At Risk
65941,73,3,1010.49,5,5,5,555,Champions
91424,78,4,1008.38,5,5,5,555,Champions
12412,30,2,1007.91,5,5,5,555,Champions
38587,12,2,1006.99,5,5,5,555,Champions
17867,310,2,1004.94,3,4,5,345,Loyal
30757,433,2,1002.94,3,5,5,355,Loyal
75267,158,1,1002.12,4,4,5,445,Champions
79464,637,2,1002.0,2,5,5,255,At Risk
24567,791,2,1000.6,2,5,5,255,At Risk
18857,90,2,1000.28,5,5,5,555,Champions
10669,62,2,1000.19,5,5,5,555,Champions
35166,81,2,1000.0,5,5,5,555,Champions
14757,9,2,998.78,5,5,5,555,Champions
60992,650,2,998.69,2,5,5,255,At Risk
89996,13,2,993.73,5,5,5,555,Champions
34305,397,2,992.95,3,5,5,355,Loyal
1130,590,2,992.95,2,5,5,255,At Risk
82799,339,4,991.1,3,5,5,355,Loyal
60252,717,1,990.0,2,2,5,225,At Risk
53783,61,1,990.0,5,3,5,535,Champions
50240,17,1,990.0,5,2,5,525,Potential Loyalists
65354,71,2,989.96,5,5,5,555,Champions
72687,1267,2,987.95,1,4,5,145,At Risk
68727,1351,1,984.99,1,1,5,115,Hibernating
18190,346,1,980.95,3,3,5,335,Loyal
10070,1087,2,976.98,1,4,5,145,At Risk
5051,239,2,976.27,4,4,5,445,Champions
73542,1324,1,974.9,1,1,5,115,Hibernating
9610,1076,2,967.95,1,4,5,145,At Risk
95204,905,2,958.6,2,5,5,255,At Risk
58297,56,2,958.08,5,5,5,555,Champions
22762,17,1,956.95,5,2,5,525,Potential Loyalists
97480,865,1,956.69,2,2,5,225,At Risk
42310,556,3,955.98,2,5,5,255,At Risk
54233,13,4,955.49,5,5,5,555,Champions
40220,74,2,952.99,5,5,5,555,Champions
61243,104,2,952.41,4,4,5,445,Champions
31705,10,1,951.99,5,1,5,515,Potential Loyalists
60691,1013,2,951.61,2,5,5,255,At Risk
51115,927,4,950.51,2,5,5,255,At Risk
69365,602,2,948.95,2,5,5,255,At Risk
7407,1417,2,948.0,1,4,5,145,At Risk
84589,512,3,947.99,3,5,5,355,Loyal
52402,252,2,947.0,4,4,5,445,Champions
99970,493,2,946.11,3,5,5,355,Loyal
24737,135,1,945.3,4,4,5,445,Champions
3863,227,2,945.0,4,4,5,445,Champions
32641,2317,1,944.99,1,1,5,115,Hibernating
84073,197,2,944.43,4,4,5,445,Champions
53180,7,2,942.98,5,4,5,545,Champions
64874,432,4,942.52,3,5,5,355,Loyal
32957,93,2,942.0,5,5,5,555,Champions
25691,950,2,939.0,2,5,5,255,At Risk
74688,113,1,939.0,4,3,5,435,Champions
81154,108,2,936.98,4,4,5,445,Champions
66305,197,1,935.56,4,4,5,445,Champions
18276,183,4,934.87,4,5,5,455,Champions
3661,460,3,934.36,3,5,5,355,Loyal
94784,147,2,934.35,4,4,5,445,Champions
62854,1514,1,932.98,1,1,5,115,Hibernating
20901,50,3,930.84,5,5,5,555,Champions
72784,8,3,930.0,5,5,5,555,Champions
41042,1374,1,929.0,1,1,5,115,Hibernating
41383,305,2,928.99,3,4,5,345,Loyal
69093,8,2,928.0,5,4,5,545,Champions
84423,108,3,926.86,4,5,5,455,Champions
93322,73,1,926.5,5,3,5,535,Champions
1170,167,2,925.0,4,4,5,445,Champions
58356,1209,2,923.98,1,4,5,145,At Risk
82870,51,1,921.84,5,2,5,525,Potential Loyalists
89919,793,3,921.49,2,5,5,255,At Risk
24753,885,1,918.99,2,2,5,225,At Risk
22088,370,4,917.53,3,5,5,355,Loyal
96069,491,4,913.58,3,5,5,355,Loyal
31897,1,4,905.26,5,5,5,555,Champions
99689,1207,1,905.04,1,1,5,115,Hibernating
8683,12,1,903.0,5,2,5,525,Potential Loyalists
4067,1707,1,903.0,1,1,5,115,Hibernating
81694,993,1,903.0,2,2,5,225,At Risk
28053,163,1,903.0,4,4,5,445,Champions
39366,1152,1,903.0,1,1,5,115,Hibernating
98340,52,1,903.0,5,2,5,525,Potential Loyalists
42703,12,1,903.0,5,2,5,525,Potential Loyalists
34500,20,1,903.0,5,2,5,525,Potential Loyalists
40898,1719,1,903.0,1,1,5,115,Hibernating
86,1556,1,903.0,1,1,5,115,Hibernating
71461,5,1,903.0,5,1,5,515,Potential Loyalists
1076,125,1,903.0,4,3,5,435,Champions
23649,1036,1,903.0,1,1,5,115,Hibernating
33675,351,1,903.0,3,3,5,335,Loyal
9489,2248,1,903.0,1,1,5,115,Hibernating
47894,481,1,903.0,3,3,5,335,Loyal
3867,1267,1,903.0,1,1,5,115,Hibernating
17235,187,1,903.0,4,4,5,445,Champions
22505,451,1,903.0,3,3,5,335,Loyal
14720,451,1,903.0,3,3,5,335,Loyal
67805,309,1,903.0,3,3,5,335,Loyal
6240,364,1,903.0,3,3,5,335,Loyal
43044,524,1,903.0,3,3,5,335,Loyal
21891,12,1,903.0,5,2,5,525,Potential Loyalists
67840,555,1,903.0,2,2,5,225,At Risk
52434,807,1,903.0,2,2,5,225,At Risk
51443,49,1,903.0,5,2,5,525,Potential Loyalists
64558,452,3,898.48,3,5,5,355,Loyal
84804,1108,3,895.98,1,5,5,155,At Risk
43317,246,1,895.0,4,4,5,445,Champions
18698,163,1,892.49,4,4,5,445,Champions
24928,1851,1,891.94,1,1,5,115,Hibernating
50631,721,2,890.59,2,5,5,255,At Risk
69628,636,4,889.95,2,5,5,255,At Risk
35884,21,3,885.51,5,5,5,555,Champions
14015,264,2,883.54,4,4,5,445,Champions
22644,152,4,882.12,4,5,5,455,Champions
80945,284,1,873.88,3,3,5,335,Loyal
92280,6,4,871.58,5,5,5,555,Champions
8216,1,2,869.94,5,4,5,545,Champions
60226,13,3,869.93,5,5,5,555,Champions
37625,368,4,868.8,3,5,5,355,Loyal
9002,11,4,868.46,5,5,5,555,Champions
6519,4,2,867.97,5,4,5,545,Champions
40348,50,2,867.22,5,5,5,555,Champions
5991,1038,3,865.55,1,5,5,155,At Risk
51038,487,2,865.0,3,5,5,355,Loyal
36418,144,3,862.32,4,5,5,455,Champions
85434,39,3,861.98,5,5,5,555,Champions
25226,54,3,857.5,5,5,5,555,Champions
76516,148,2,856.98,4,4,5,445,Champions
76338,212,4,855.16,4,5,5,455,Champions
42275,30,4,854.92,5,5,5,555,Champions
49255,936,2,852.78,2,5,5,255,At Risk
39218,7,4,851.92,5,5,5,555,Champions
91088,140,1,848.99,4,4,5,445,Champions
76491,231,3,846.43,4,5,5,455,Champions
82976,1,3,844.91,5,5,5,555,Champions
60695,27,4,841.99,5,5,5,555,Champions
39886,37,1,841.95,5,2,5,525,Potential Loyalists
72084,90,4,839.43,5,5,5,555,Champions
64551,559,3,838.47,2,5,5,255,At Risk
14076,399,2,837.96,3,5,5,355,Loyal
70188,106,2,835.9,4,4,5,445,Champions
78795,113,4,834.73,4,5,5,455,Champions
94743,109,2,833.99,4,4,5,445,Champions
34982,835,2,833.96,2,5,5,255,At Risk
66732,637,2,831.9,2,5,5,255,At Risk
88832,214,3,830.5,4,5,5,455,Champions
96605,943,3,828.44,2,5,5,255,At Risk
44405,196,1,828.0,4,4,5,445,Champions
4483,208,2,827.69,4,4,5,445,Champions
5172,248,3,825.85,4,5,5,455,Champions
5089,69,1,825.0,5,3,5,535,Champions
67916,159,1,825.0,4,4,5,445,Champions
49933,60,1,825.0,5,3,5,535,Champions
88504,533,2,824.85,3,5,5,355,Loyal
18152,237,1,823.99,4,4,5,445,Champions
1337,377,1,823.0,3,3,5,335,Loyal
40488,7,3,822.02,5,5,5,555,Champions
16301,192,2,821.31,4,4,5,445,Champions
77945,76,4,820.15,5,5,5,555,Champions
24083,237,1,819.99,4,4,5,445,Champions
69826,345,1,819.48,3,3,5,335,Loyal
90,481,3,819.01,3,5,5,355,Loyal
50471,308,3,816.22,3,5,5,355,Loyal
99324,7,1,815.0,5,1,5,515,Potential Loyalists
85786,903,1,815.0,2,2,5,225,At Risk
85542,356,1,815.0,3,3,5,335,Loyal
25362,124,1,813.95,4,3,5,435,Champions
35387,1187,4,813.56,1,5,5,155,At Risk
46851,52,3,812.87,5,5,5,555,Champions
53666,502,1,810.3,3,3,5,335,Loyal
71881,54,4,810.2,5,5,5,555,Champions
50281,19,4,809.9,5,5,5,555,Champions
44384,47,4,808.9,5,5,5,555,Champions
57088,567,3,808.45,2,5,5,255,At Risk
55789,81,2,808.3,5,5,5,555,Champions
12565,933,1,807.5,2,2,5,225,At Risk
36555,156,1,806.01,4,4,5,445,Champions
53150,174,3,805.41,4,5,5,455,Champions
15428,201,2,804.99,4,4,5,445,Champions
49548,664,4,804.45,2,5,5,255,At Risk
94713,77,4,802.49,5,5,5,555,Champions
84687,128,1,802.0,4,3,5,435,Champions
15045,453,3,799.23,3,5,5,355,Loyal
13464,83,3,798.99,5,5,5,555,Champions
51993,599,2,795.8,2,5,5,255,At Risk
55022,15,1,795.0,5,2,5,525,Potential Loyalists
31204,495,1,795.0,3,3,5,335,Loyal
42367,2,3,794.63,5,5,5,555,Champions
35974,1017,2,793.0,2,5,5,255,At Risk
75903,223,4,791.81,4,5,5,455,Champions
37511,1404,3,789.75,1,5,5,155,At Risk
29799,78,4,789.47,5,5,5,555,Champions
10722,78,2,787.47,5,5,5,555,Champions
85307,510,1,784.85,3,3,5,335,Loyal
72401,345,4,784.32,3,5,5,355,Loyal
19812,584,2,782.98,2,5,5,255,At Risk
69964,112,4,782.39,4,5,5,455,Champions
37262,700,3,781.37,2,5,5,255,At Risk
39474,33,4,778.5,5,5,5,555,Champions
94696,410,1,776.94,3,3,5,335,Loyal
87833,1979,3,776.93,1,5,5,155,At Risk
6292,33,3,775.94,5,5,5,555,Champions
58122,197,3,774.94,4,5,5,455,Champions
45211,1565,1,774.0,1,1,5,115,Hibernating
82273,236,2,774.0,4,4,5,445,Champions
16635,21,2,774.0,5,5,5,555,Champions
80432,274,4,773.97,3,5,5,355,Loyal
4938,339,2,772.95,3,4,5,345,Loyal
3324,601,3,772.56,2,5,5,255,At Risk
79214,1004,1,772.0,2,2,5,225,At Risk
25984,475,4,771.07,3,5,5,355,Loyal
81777,298,3,770.99,3,5,5,355,Loyal
23750,5,3,769.79,5,5,5,555,Champions
56881,173,3,769.61,4,5,5,455,Champions
968,260,4,769.53,4,5,5,455,Champions
56951,49,4,769.11,5,5,5,555,Champions
52393,1714,1,767.97,1,1,5,115,Hibernating
49442,1490,1,767.0,1,1,5,115,Hibernating
63433,856,2,766.37,2,5,5,255,At Risk
7995,103,3,765.26,4,5,5,455,Champions
6866,15,3,763.87,5,5,5,555,Champions
78575,394,4,763.62,3,5,5,355,Loyal
63882,320,3,763.6,3,5,5,355,Loyal
38740,39,3,763.06,5,5,5,555,Champions
60880,1432,1,758.0,1,1,5,115,Hibernating
92712,130,2,757.98,4,4,5,445,Champions
66262,516,2,757.83,3,5,5,355,Loyal
34861,143,3,757.45,4,5,5,455,Champions
49917,35,2,756.0,5,5,5,555,Champions
85611,495,3,754.89,3,5,5,355,Loyal
56623,370,3,754.74,3,5,5,355,Loyal
51790,3,3,752.17,5,5,5,555,Champions
11701,2,2,752.13,5,4,5,545,Champions
96399,362,3,751.37,3,5,5,355,Loyal
64311,424,4,750.56,3,5,5,355,Loyal
65201,258,3,750.41,4,5,5,455,Champions
15821,677,1,750.0,2,2,5,225,At Risk
82517,824,1,750.0,2,2,5,225,At Risk
81800,1653,1,749.99,1,1,5,115,Hibernating
83937,1066,1,749.99,1,1,5,115,Hibernating
50733,27,2,749.95,5,5,5,555,Champions
18661,147,4,749.85,4,5,5,455,Champions
31943,53,2,747.74,5,5,5,555,Champions
36835,7,4,746.97,5,5,5,555,Champions
87012,890,2,746.46,2,5,5,255,At Risk
86341,74,4,745.55,5,5,5,555,Champions
30740,117,4,744.87,4,5,5,455,Champions
11944,32,1,743.89,5,2,5,525,Potential Loyalists
88096,838,2,743.78,2,5,5,255,At Risk
37156,33,4,742.23,5,5,5,555,Champions
89738,1130,1,741.88,1,1,5,115,Hibernating
5315,8,2,741.72,5,4,5,545,Champions
88625,196,2,741.36,4,4,5,445,Champions
81348,589,3,741.34,2,5,5,255,At Risk
73705,1581,1,740.26,1,1,5,115,Hibernating
73549,859,2,736.0,2,5,5,255,At Risk
60254,367,2,734.99,3,4,5,345,Loyal
99321,576,3,734.94,2,5,5,255,At Risk
74168,1189,2,734.49,1,4,5,145,At Risk
54251,666,1,732.0,2,2,5,225,At Risk
96706,276,3,731.92,3,5,5,355,Loyal
24865,276,3,730.67,3,5,5,355,Loyal
56822,232,2,730.5,4,4,5,445,Champions
59721,15,2,730.45,5,5,5,555,Champions
42745,717,1,729.0,2,2,5,225,At Risk
89863,109,1,729.0,4,3,5,435,Champions
21148,13,2,727.99,5,5,5,555,Champions
74482,733,2,726.95,2,5,5,255,At Risk
12895,291,3,726.92,3,5,5,355,Loyal
29040,136,4,724.43,4,5,5,455,Champions
78182,107,4,723.93,4,5,5,455,Champions
38484,112,3,723.48,4,5,5,455,Champions
3144,11,3,723.17,5,5,5,555,Champions
7298,624,4,721.99,2,5,5,255,At Risk
20923,227,4,721.02,4,5,5,455,Champions
71683,86,1,721.0,5,3,5,535,Champions
61537,1108,1,719.45,1,1,5,115,Hibernating
40159,201,3,718.65,4,5,5,455,Champions
5841,102,3,717.98,4,5,5,455,Champions
95391,121,4,717.41,4,5,5,455,Champions
6149,119,2,715.05,4,4,5,445,Champions
87722,871,3,713.71,2,5,5,255,At Risk
45673,1157,3,713.7,1,5,5,155,At Risk
47608,98,4,711.11,4,5,5,455,Champions
22023,80,4,710.44,5,5,5,555,Champions
24693,1321,1,710.44,1,1,5,115,Hibernating
92719,332,1,710.21,3,3,5,335,Loyal
37565,851,3,709.0,2,5,5,255,At Risk
27992,134,3,707.95,4,5,5,455,Champions
1382,110,3,707.82,4,5,5,455,Champions
79275,221,3,707.41,4,5,5,455,Champions
97818,355,3,707.12,3,5,5,355,Loyal
92272,895,1,706.37,2,2,5,225,At Risk
79782,49,1,704.98,5,2,5,525,Potential Loyalists
10622,455,4,704.91,3,5,5,355,Loyal
18652,76,2,704.5,5,5,5,555,Champions
24212,1329,2,704.0,1,4,5,145,At Risk
77147,600,2,703.89,2,5,5,255,At Risk
69244,878,2,703.8,2,5,5,255,At Risk
2295,322,2,703.62,3,4,5,345,Loyal
66313,132,4,702.94,4,5,5,455,Champions
99462,117,3,702.31,4,5,5,455,Champions
67262,1324,4,701.98,1,5,5,155,At Risk
4414,70,2,701.92,5,5,5,555,Champions
59794,349,2,701.5,3,4,5,345,Loyal
78349,1,3,701.33,5,5,5,555,Champions
14566,293,4,700.61,3,5,5,355,Loyal
83136,440,1,700.3,3,3,5,335,Loyal
51929,10,1,699.0,5,2,5,525,Potential Loyalists
5748,398,1,698.0,3,3,5,335,Loyal
87634,100,1,698.0,4,3,5,435,Champions
59467,136,2,697.95,4,4,5,445,Champions
70929,15,3,697.02,5,5,5,555,Champions
2458,599,2,696.94,2,5,5,255,At Risk
33993,5,4,695.45,5,5,5,555,Champions
18255,421,1,695.0,3,3,5,335,Loyal
90621,230,1,695.0,4,4,5,445,Champions
47595,87,1,695.0,5,3,5,535,Champions
71126,1245,1,695.0,1,1,5,115,Hibernating
96097,92,1,695.0,5,3,5,535,Champions
9638,631,1,695.0,2,2,5,225,At Risk
27806,22,1,695.0,5,2,5,525,Potential Loyalists
41865,496,1,694.95,3,3,5,335,Loyal
28008,1755,1,694.95,1,1,5,115,Hibernating
95978,337,2,694.0,3,4,5,345,Loyal
79492,114,4,693.66,4,5,5,455,Champions
46822,105,4,693.49,4,5,5,455,Champions
12886,72,3,692.84,5,5,5,555,Champions
51119,372,2,692.72,3,5,5,355,Loyal
90168,1785,1,692.49,1,1,5,115,Hibernating
71798,604,3,692.14,2,5,5,255,At Risk
88086,53,4,691.97,5,5,5,555,Champions
32923,143,3,691.88,4,5,5,455,Champions
4464,1413,4,691.02,1,5,5,155,At Risk
93667,723,1,691.0,2,2,5,225,At Risk
10164,852,1,690.4,2,2,5,225,At Risk
68789,352,3,688.99,3,5,5,355,Loyal
94707,73,2,688.71,5,5,5,555,Champions
60826,157,4,687.51,4,5,5,455,Champions
93028,311,2,687.0,3,4,5,345,Loyal
8357,52,2,686.98,5,5,5,555,Champions
93191,11,3,686.5,5,5,5,555,Champions
83075,62,3,686.3,5,5,5,555,Champions
38368,400,2,684.86,3,5,5,355,Loyal
21648,204,4,684.26,4,5,5,455,Champions
17347,1070,2,682.66,1,5,5,155,At Risk
40884,980,2,681.95,2,5,5,255,At Risk
28346,608,3,681.27,2,5,5,255,At Risk
94390,162,2,680.89,4,4,5,445,Champions
56477,405,2,680.43,3,5,5,355,Loyal
5069,1737,2,680.39,1,4,5,145,At Risk
10123,18,2,679.64,5,5,5,555,Champions
89448,1531,4,679.18,1,5,5,155,At Risk
38799,1943,2,678.98,1,4,5,145,At Risk
81135,79,4,678.91,5,5,5,555,Champions
45622,129,3,678.79,4,5,5,455,Champions
58574,29,4,678.61,5,5,5,555,Champions
75165,5,2,677.49,5,4,5,545,Champions
62470,161,4,677.43,4,5,5,455,Champions
38549,105,3,676.88,4,5,5,455,Champions
63430,12,4,675.95,5,5,5,555,Champions
31615,175,2,675.48,4,4,5,445,Champions
6239,628,2,674.99,2,5,5,255,At Risk
44084,1029,3,674.15,1,5,5,155,At Risk
83017,3,3,673.88,5,5,5,555,Champions
56772,18,4,673.33,5,5,5,555,Champions
97879,1334,1,672.37,1,1,5,115,Hibernating
30909,629,1,672.0,2,2,5,225,At Risk
30462,5,3,671.5,5,5,5,555,Champions
49148,97,2,671.26,4,4,5,445,Champions
51071,267,4,670.49,4,5,5,455,Champions
84683,3,3,670.36,5,5,5,555,Champions
24937,225,2,670.31,4,4,5,445,Champions
74999,346,3,669.78,3,5,5,355,Loyal
95813,71,3,669.72,5,5,5,555,Champions
2615,12,4,669.13,5,5,5,555,Champions
55158,830,2,668.99,2,5,5,255,At Risk
77496,429,2,668.62,3,5,5,355,Loyal
53725,87,4,668.58,5,5,5,555,Champions
64736,297,3,668.51,3,5,5,355,Loyal
56357,340,1,668.49,3,3,5,335,Loyal
29788,133,2,667.72,4,4,5,445,Champions
61247,119,2,667.46,4,4,5,445,Champions
15228,74,4,667.42,5,5,5,555,Champions
9127,963,1,666.98,2,2,5,225,At Risk
61129,180,2,666.98,4,4,5,445,Champions
99394,41,3,666.88,5,5,5,555,Champions
26073,165,3,665.89,4,5,5,455,Champions
42347,206,4,662.97,4,5,5,455,Champions
22842,478,2,662.55,3,5,5,355,Loyal
44011,149,3,662.15,4,5,5,455,Champions
8456,68,2,661.37,5,5,5,555,Champions
82299,260,4,660.98,4,5,5,455,Champions
7504,167,2,660.88,4,4,5,445,Champions
69707,226,4,660.86,4,5,5,455,Champions
10234,844,2,659.94,2,5,5,255,At Risk
18439,222,3,659.81,4,5,5,455,Champions
69196,983,3,659.77,2,5,5,255,At Risk
54668,935,2,658.97,2,5,5,255,At Risk
63028,355,2,658.95,3,4,5,345,Loyal
76648,174,2,657.87,4,4,5,445,Champions
47871,495,1,657.49,3,3,5,335,Loyal
55143,251,4,656.57,4,5,5,455,Champions
96689,672,4,656.48,2,5,5,255,At Risk
71333,134,4,655.84,4,5,5,455,Champions
15440,94,4,655.82,4,5,5,455,Champions
93023,436,2,655.0,3,5,5,355,Loyal
99670,101,4,654.52,4,5,5,455,Champions
79831,36,4,654.19,5,5,5,555,Champions
78700,221,2,653.75,4,4,5,445,Champions
20247,34,3,653.55,5,5,5,555,Champions
72532,4,4,653.37,5,5,5,555,Champions
58563,9,1,652.45,5,1,5,515,Potential Loyalists
63025,414,2,652.36,3,5,5,355,Loyal
99398,537,4,651.91,3,5,5,355,Loyal
2811,273,2,650.16,3,4,5,345,Loyal
92414,1243,1,650.0,1,1,5,115,Hibernating
3049,61,1,650.0,5,3,5,535,Champions
83002,589,4,649.98,2,5,5,255,At Risk
65193,632,2,649.8,2,5,5,255,At Risk
58791,235,1,648.0,4,4,5,445,Champions
6537,97,3,647.98,4,5,5,455,Champions
95557,189,3,647.82,4,5,5,455,Champions
52552,38,3,647.44,5,5,5,555,Champions
37303,34,2,647.07,5,5,5,555,Champions
17427,972,3,646.89,2,5,5,255,At Risk
42308,54,1,646.6,5,3,5,535,Champions
22536,758,4,646.26,2,5,5,255,At Risk
17483,1504,2,645.99,1,4,5,145,At Risk
56050,196,2,645.0,4,4,5,445,Champions
18219,90,2,644.98,5,5,5,555,Champions
7901,448,3,644.87,3,5,5,355,Loyal
63080,1056,1,644.5,1,1,5,115,Hibernating
44600,136,4,644.31,4,5,5,455,Champions
45971,88,4,643.96,5,5,5,555,Champions
86657,159,4,643.94,4,5,5,455,Champions
15172,1305,1,643.82,1,1,5,115,Hibernating
61728,202,4,643.44,4,5,5,455,Champions
45727,30,3,642.65,5,5,5,555,Champions
9749,317,3,642.45,3,5,5,355,Loyal
37481,778,2,642.39,2,5,5,255,At Risk
24346,1156,2,642.05,1,4,5,145,At Risk
38902,1113,1,641.98,1,1,5,115,Hibernating
57116,615,2,640.99,2,5,5,255,At Risk
58906,1526,1,640.0,1,1,5,115,Hibernating
89248,6,1,640.0,5,1,5,515,Potential Loyalists
74753,545,1,639.99,3,3,5,335,Loyal
31785,317,4,639.99,3,5,5,355,Loyal
14100,357,4,639.85,3,5,5,355,Loyal
92959,554,3,639.45,2,5,5,255,At Risk
5875,864,3,638.44,2,5,5,255,At Risk
93039,13,3,638.38,5,5,5,555,Champions
77661,125,4,638.22,4,5,5,455,Champions
20336,224,2,637.99,4,4,5,445,Champions
4810,121,4,637.41,4,5,5,455,Champions
67212,187,3,636.33,4,5,5,455,Champions
73768,777,3,635.33,2,5,5,255,At Risk
24110,192,2,634.98,4,4,5,445,Champions
86133,211,4,634.9,4,5,5,455,Champions
49420,4,3,633.93,5,5,5,555,Champions
57682,666,3,633.71,2,5,5,255,At Risk
57657,68,3,633.5,5,5,5,555,Champions
17396,951,4,632.98,2,5,5,255,At Risk
23064,3,4,632.88,5,5,5,555,Champions
84277,144,3,632.7,4,5,5,455,Champions
6540,301,2,632.47,3,4,5,345,Loyal
16055,45,4,632.27,5,5,5,555,Champions
60352,42,4,631.9,5,5,5,555,Champions
14662,827,2,631.57,2,5,5,255,At Risk
87498,1055,2,631.0,1,5,5,155,At Risk
82917,53,3,630.97,5,5,5,555,Champions
23655,19,4,629.46,5,5,5,555,Champions
78851,397,3,628.93,3,5,5,355,Loyal
81244,609,2,628.0,2,5,5,255,At Risk
37387,46,3,627.99,5,5,5,555,Champions
86800,46,1,627.0,5,2,5,525,Potential Loyalists
25507,6,1,626.97,5,1,5,515,Potential Loyalists
14101,80,2,626.97,5,5,5,555,Champions
68566,1466,1,626.49,1,1,5,115,Hibernating
6852,515,2,626.44,3,5,5,355,Loyal
32766,37,2,626.1,5,5,5,555,Champions
77992,230,3,625.88,4,5,5,455,Champions
13844,10,2,625.69,5,5,5,555,Champions
65441,13,3,625.49,5,5,5,555,Champions
4201,20,3,625.49,5,5,5,555,Champions
74362,891,1,625.45,2,2,5,225,At Risk
5082,703,2,625.39,2,5,5,255,At Risk
31579,1739,1,625.0,1,1,5,115,Hibernating
70842,193,1,624.99,4,4,5,445,Champions
68784,199,4,624.99,4,5,5,455,Champions
7133,1039,2,624.99,1,5,5,155,At Risk
51575,50,3,624.51,5,5,5,555,Champions
26579,117,4,624.46,4,5,5,455,Champions
34031,83,3,624.17,5,5,5,555,Champions
73473,152,4,623.96,4,5,5,455,Champions
44485,184,2,623.75,4,4,5,445,Champions
18163,5,3,623.43,5,5,5,555,Champions
59840,15,4,623.27,5,5,5,555,Champions
99087,309,1,622.99,3,3,5,335,Loyal
64591,374,2,622.71,3,5,5,355,Loyal
15564,340,2,622.0,3,4,5,345,Loyal
75360,307,2,621.94,3,4,5,345,Loyal
97830,177,2,621.78,4,4,5,445,Champions
93264,659,3,621.1,2,5,5,255,At Risk
67417,308,3,619.99,3,5,5,355,Loyal
86585,214,2,619.44,4,4,5,445,Champions
42082,65,3,618.91,5,5,5,555,Champions
61885,1759,2,618.49,1,4,5,145,At Risk
15952,9,3,618.0,5,5,5,555,Champions
3902,27,4,617.77,5,5,5,555,Champions
30735,274,2,617.5,3,4,5,345,Loyal
